"UTC","LocalTime","Machine","User","PID","Basename","ActionId","Action","Info","Path","CommandLine"
"133483382248829997","12-29-2023 16:43:44","DESKTOP-RP0TC7B","ibtisam","3816","chrome.exe","32","(0x20) ProBalance restraint ended","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483382564046537","12-29-2023 16:44:16","DESKTOP-RP0TC7B","ibtisam","11272","chrome.exe","43","(0x2b) ProBalance begun","This process is now being acted on by ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483382564066932","12-29-2023 16:44:16","DESKTOP-RP0TC7B","ibtisam","11272","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483382615018626","12-29-2023 16:44:21","DESKTOP-RP0TC7B","ibtisam","11272","chrome.exe","34","(0x22) ProBalance ended because process is now in foreground.","The process was brought to the foreground and foreground processes are excluded from ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483382615018626","12-29-2023 16:44:21","DESKTOP-RP0TC7B","ibtisam","11272","chrome.exe","46","(0x2e) Restored original process priority","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483382615018626","12-29-2023 16:44:21","DESKTOP-RP0TC7B","ibtisam","11272","chrome.exe","32","(0x20) ProBalance restraint ended","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483677610738102","12-30-2023 00:56:01","DESKTOP-RP0TC7B","ibtisam","4784","googlechromeportable.exe","22","(0x16) Process priority adjusted","Above normal","g:\browsers\googlechromeportable\googlechromeportable.exe","<Not included by option>"
"133484214027266231","12-30-2023 15:50:02","DESKTOP-RP0TC7B","ibtisam","7864","processgovernor.exe","59","(0x3b) Configuration file loaded","Config from: E:\data\development\shell\Process Lasso\Data\config\prolasso.ini","E:\data\development\shell\Process Lasso\App\ProgramFiles64","<Not included by option>"
"133484214027266231","12-30-2023 15:50:02","DESKTOP-RP0TC7B","ibtisam","7864","processgovernor.exe","58","(0x3a) Process management has begun","Process Lasso v12.4.0.44 (5810300) (c)2023 Bitsum LLC","E:\data\development\shell\Process Lasso\App\ProgramFiles64","<Not included by option>"
"133484214027266231","12-30-2023 15:50:02","DESKTOP-RP0TC7B","ibtisam","7864","processgovernor.exe","60","(0x3c) Management scope","Managing processes for user(s): All users","",""
"133484214045391703","12-30-2023 15:50:04","DESKTOP-RP0TC7B","ibtisam","6308","googlechromeportable.exe","22","(0x16) Process priority adjusted","Above normal","g:\browsers\googlechromeportable\googlechromeportable.exe","<Not included by option>"
"133484215527735378","12-30-2023 15:52:32","DESKTOP-RP0TC7B","ibtisam","2980","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\system32\cmd.exe","<Not included by option>"
"133484215527891592","12-30-2023 15:52:32","DESKTOP-RP0TC7B","ibtisam","5064","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484215527891592","12-30-2023 15:52:32","DESKTOP-RP0TC7B","ibtisam","2864","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484215527891592","12-30-2023 15:52:32","DESKTOP-RP0TC7B","ibtisam","1516","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484215527891592","12-30-2023 15:52:32","DESKTOP-RP0TC7B","ibtisam","3048","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484215527891592","12-30-2023 15:52:32","DESKTOP-RP0TC7B","ibtisam","5592","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484215527891592","12-30-2023 15:52:32","DESKTOP-RP0TC7B","ibtisam","8064","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216266704827","12-30-2023 15:53:46","DESKTOP-RP0TC7B","ibtisam","2980","cmd.exe","22","(0x16) Process priority adjusted","Normal","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216266861062","12-30-2023 15:53:46","DESKTOP-RP0TC7B","ibtisam","2864","cmd.exe","22","(0x16) Process priority adjusted","Normal","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216266861062","12-30-2023 15:53:46","DESKTOP-RP0TC7B","ibtisam","1516","cmd.exe","22","(0x16) Process priority adjusted","Normal","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216266861062","12-30-2023 15:53:46","DESKTOP-RP0TC7B","ibtisam","3048","cmd.exe","22","(0x16) Process priority adjusted","Normal","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216266861062","12-30-2023 15:53:46","DESKTOP-RP0TC7B","ibtisam","5592","cmd.exe","22","(0x16) Process priority adjusted","Normal","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216266861062","12-30-2023 15:53:46","DESKTOP-RP0TC7B","ibtisam","5460","cmd.exe","22","(0x16) Process priority adjusted","Normal","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216266861062","12-30-2023 15:53:46","DESKTOP-RP0TC7B","ibtisam","8064","cmd.exe","22","(0x16) Process priority adjusted","Normal","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216764767768","12-30-2023 15:54:36","DESKTOP-RP0TC7B","ibtisam","2980","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;2-3","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216764924107","12-30-2023 15:54:36","DESKTOP-RP0TC7B","ibtisam","5064","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;2-3","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216764924107","12-30-2023 15:54:36","DESKTOP-RP0TC7B","ibtisam","1516","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;2-3","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216764924107","12-30-2023 15:54:36","DESKTOP-RP0TC7B","ibtisam","3048","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;2-3","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216764924107","12-30-2023 15:54:36","DESKTOP-RP0TC7B","ibtisam","5592","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;2-3","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216764924107","12-30-2023 15:54:36","DESKTOP-RP0TC7B","ibtisam","5460","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;2-3","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216764924107","12-30-2023 15:54:36","DESKTOP-RP0TC7B","ibtisam","8064","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;2-3","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216860877247","12-30-2023 15:54:46","DESKTOP-RP0TC7B","ibtisam","2980","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;3","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216861033378","12-30-2023 15:54:46","DESKTOP-RP0TC7B","ibtisam","5064","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;3","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216861033378","12-30-2023 15:54:46","DESKTOP-RP0TC7B","ibtisam","1516","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;3","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216861033378","12-30-2023 15:54:46","DESKTOP-RP0TC7B","ibtisam","3048","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;3","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216861033378","12-30-2023 15:54:46","DESKTOP-RP0TC7B","ibtisam","5592","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;3","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216861033378","12-30-2023 15:54:46","DESKTOP-RP0TC7B","ibtisam","5460","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;3","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216861033378","12-30-2023 15:54:46","DESKTOP-RP0TC7B","ibtisam","8064","cmd.exe","21","(0x15) Process CPU affinity adjusted","0;3","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216911510619","12-30-2023 15:54:51","DESKTOP-RP0TC7B","ibtisam","2980","cmd.exe","21","(0x15) Process CPU affinity adjusted","0","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216911666935","12-30-2023 15:54:51","DESKTOP-RP0TC7B","ibtisam","5064","cmd.exe","21","(0x15) Process CPU affinity adjusted","0","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216911666935","12-30-2023 15:54:51","DESKTOP-RP0TC7B","ibtisam","1516","cmd.exe","21","(0x15) Process CPU affinity adjusted","0","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216911666935","12-30-2023 15:54:51","DESKTOP-RP0TC7B","ibtisam","3048","cmd.exe","21","(0x15) Process CPU affinity adjusted","0","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216911666935","12-30-2023 15:54:51","DESKTOP-RP0TC7B","ibtisam","5592","cmd.exe","21","(0x15) Process CPU affinity adjusted","0","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484216911666935","12-30-2023 15:54:51","DESKTOP-RP0TC7B","ibtisam","5460","cmd.exe","21","(0x15) Process CPU affinity adjusted","0","c:\windows\system32\cmd.exe","<Not included by option>"
"133484216911666935","12-30-2023 15:54:51","DESKTOP-RP0TC7B","ibtisam","8064","cmd.exe","21","(0x15) Process CPU affinity adjusted","0","c:\windows\system32\cmd.exe","<Not included by option>"
"133484217093037994","12-30-2023 15:55:09","DESKTOP-RP0TC7B","ibtisam","2980","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\system32\cmd.exe","<Not included by option>"
"133484217093194351","12-30-2023 15:55:09","DESKTOP-RP0TC7B","ibtisam","5064","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484217093194351","12-30-2023 15:55:09","DESKTOP-RP0TC7B","ibtisam","1516","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484217093194351","12-30-2023 15:55:09","DESKTOP-RP0TC7B","ibtisam","3048","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484217093194351","12-30-2023 15:55:09","DESKTOP-RP0TC7B","ibtisam","5592","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\syswow64\cmd.exe","<Not included by option>"
"133484217093194351","12-30-2023 15:55:09","DESKTOP-RP0TC7B","ibtisam","5460","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\system32\cmd.exe","<Not included by option>"
"133484217093194351","12-30-2023 15:55:09","DESKTOP-RP0TC7B","ibtisam","8064","cmd.exe","22","(0x16) Process priority adjusted","Real time","c:\windows\system32\cmd.exe","<Not included by option>"
"133484218352257938","12-30-2023 15:57:15","DESKTOP-RP0TC7B","ibtisam","7864","processgovernor.exe","85","(0x55) Config Profile Changed","Lasso config profile changed from default to onlineize","E:\data\development\shell\Process Lasso\Data\config\onlineize\prolasso.ini","<Not included by option>"
"133484218543843353","12-30-2023 15:57:34","DESKTOP-RP0TC7B","ibtisam","7864","processgovernor.exe","85","(0x55) Config Profile Changed","Lasso config profile changed from onlineize to default","E:\data\development\shell\Process Lasso\Data\config\prolasso.ini","<Not included by option>"
"133484219626376924","12-30-2023 15:59:22","DESKTOP-RP0TC7B","ibtisam","7864","processgovernor.exe","85","(0x55) Config Profile Changed","Lasso config profile changed from default to onlineize","E:\data\development\shell\Process Lasso\Data\config\onlineize\prolasso.ini","<Not included by option>"
"133484221985092281","12-30-2023 16:03:18","DESKTOP-RP0TC7B","ibtisam","3756","processgovernor.exe","59","(0x3b) Configuration file loaded","Config from: E:\data\development\shell\Process Lasso\Data\config\onlineize\prolasso.ini","E:\data\development\shell\Process Lasso\App\ProgramFiles64","<Not included by option>"
"133484221985092281","12-30-2023 16:03:18","DESKTOP-RP0TC7B","ibtisam","3756","processgovernor.exe","58","(0x3a) Process management has begun","Process Lasso v12.4.0.44 (5810300) (c)2023 Bitsum LLC","E:\data\development\shell\Process Lasso\App\ProgramFiles64","<Not included by option>"
"133484221985092281","12-30-2023 16:03:18","DESKTOP-RP0TC7B","ibtisam","3756","processgovernor.exe","60","(0x3c) Management scope","Managing processes for user(s): All users","",""
"133484222000387041","12-30-2023 16:03:20","DESKTOP-RP0TC7B","ibtisam","3756","processgovernor.exe","85","(0x55) Config Profile Changed","Lasso config profile changed from default to onlineize","E:\data\development\shell\Process Lasso\Data\config\onlineize\prolasso.ini","<Not included by option>"
"133485139374176057","12-31-2023 17:32:17","DESKTOP-RP0TC7B","ibtisam","9936","processgovernor.exe","59","(0x3b) Configuration file loaded","Config from: E:\data\development\shell\Process Lasso\Data\config\onlineize\prolasso.ini","E:\data\development\shell\Process Lasso\App\ProgramFiles64","<Not included by option>"
"133485139374176057","12-31-2023 17:32:17","DESKTOP-RP0TC7B","ibtisam","9936","processgovernor.exe","58","(0x3a) Process management has begun","Process Lasso v12.4.0.44 (5810300) (c)2023 Bitsum LLC","E:\data\development\shell\Process Lasso\App\ProgramFiles64","<Not included by option>"
"133485139374176057","12-31-2023 17:32:17","DESKTOP-RP0TC7B","ibtisam","9936","processgovernor.exe","60","(0x3c) Management scope","Managing processes for user(s): All users","",""
